department,score
HR,25
HR,28
HR,35
HR,26
HR,25
HR,30
HR,32
HR,33
HR,28
HR,31
HR,27
HR,30
HR,26
HR,33
HR,35
HR,33
HR,32
HR,27
HR,35
HR,25
HR,34
HR,35
HR,34
HR,32
HR,35
HR,29
HR,29
HR,35
HR,29
HR,29
HR,33
HR,29
HR,30
HR,28
HR,31
HR,26
HR,30
HR,26
HR,29
HR,28
HR,27
HR,27
HR,31
HR,35
HR,35
HR,29
HR,25
HR,31
HR,33
HR,33
Finance,88
Finance,82
Finance,87
Finance,82
Finance,83
Finance,88
Finance,82
Finance,87
Finance,87
Finance,85
Finance,82
Finance,84
Finance,85
Finance,82
Finance,80
Finance,82
Finance,86
Finance,87
Finance,83
Finance,86
Finance,87
Finance,86
Finance,80
Finance,85
Finance,88
Finance,88
Finance,85
Finance,85
Finance,85
Finance,83
Finance,80
Finance,85
Finance,86
Finance,89
Finance,82
Finance,83
Finance,85
Finance,80
Finance,87
Finance,84
Finance,89
Finance,87
Finance,80
Finance,89
Finance,86
Finance,84
Finance,82
Finance,82
Finance,88
Finance,80
IT,32
IT,31
IT,33
IT,34
IT,33
IT,34
IT,29
IT,29
IT,28
IT,34
IT,27
IT,33
IT,35
IT,30
IT,26
IT,32
IT,32
IT,25
IT,26
IT,33
IT,25
IT,27
IT,29
IT,30
IT,32
IT,30
IT,28
IT,28
IT,28
IT,26
IT,30
IT,27
IT,29
IT,33
IT,25
IT,34
IT,34
IT,34
IT,26
IT,35
IT,33
IT,28
IT,27
IT,35
IT,29
IT,29
IT,28
IT,35
IT,28
IT,25
Marketing,32
Marketing,31
Marketing,30
Marketing,34
Marketing,34
Marketing,25
Marketing,26
Marketing,28
Marketing,31
Marketing,30
Marketing,35
Marketing,30
Marketing,31
Marketing,26
Marketing,30
Marketing,34
Marketing,32
Marketing,31
Marketing,27
Marketing,35
Marketing,30
Marketing,35
Marketing,34
Marketing,30
Marketing,35
Marketing,29
Marketing,30
Marketing,27
Marketing,27
Marketing,27
Marketing,28
Marketing,31
Marketing,31
Marketing,29
Marketing,34
Marketing,25
Marketing,27
Marketing,27
Marketing,30
Marketing,30
Marketing,25
Marketing,31
Marketing,34
Marketing,26
Marketing,31
Marketing,32
Marketing,27
Marketing,26
Marketing,25
Marketing,26
Sales,26
Sales,35
Sales,27
Sales,29
Sales,34
Sales,35
Sales,30
Sales,31
Sales,27
Sales,28
Sales,35
Sales,32
Sales,31
Sales,31
Sales,30
Sales,25
Sales,26
Sales,34
Sales,28
Sales,31
Sales,29
Sales,32
Sales,34
Sales,32
Sales,28
Sales,29
Sales,26
Sales,32
Sales,29
Sales,28
Sales,28
Sales,28
Sales,28
Sales,32
Sales,30
Sales,26
Sales,27
Sales,26
Sales,25
Sales,29
Sales,30
Sales,28
Sales,29
Sales,27
Sales,29
Sales,33
Sales,31
Sales,33
Sales,34
Sales,34
