department,score
HR,29
HR,34
HR,26
HR,31
HR,29
HR,27
HR,34
HR,28
HR,33
HR,30
HR,27
HR,32
HR,26
HR,29
HR,35
HR,32
HR,29
HR,34
HR,34
HR,27
HR,28
HR,28
HR,25
HR,26
HR,26
HR,34
HR,30
HR,35
HR,31
HR,28
HR,26
HR,34
HR,25
HR,35
HR,29
HR,31
HR,30
HR,33
HR,31
HR,30
HR,30
HR,31
HR,33
HR,34
HR,29
HR,28
HR,32
HR,28
HR,34
HR,31
Finance,80
Finance,84
Finance,86
Finance,87
Finance,82
Finance,84
Finance,84
Finance,89
Finance,81
Finance,85
Finance,86
Finance,88
Finance,81
Finance,80
Finance,84
Finance,81
Finance,89
Finance,87
Finance,82
Finance,80
Finance,83
Finance,88
Finance,81
Finance,82
Finance,87
Finance,89
Finance,82
Finance,83
Finance,87
Finance,86
Finance,88
Finance,89
Finance,87
Finance,81
Finance,86
Finance,80
Finance,85
Finance,85
Finance,84
Finance,84
Finance,80
Finance,83
Finance,80
Finance,85
Finance,81
Finance,81
Finance,85
Finance,87
Finance,85
Finance,80
IT,32
IT,29
IT,26
IT,34
IT,33
IT,26
IT,33
IT,29
IT,27
IT,34
IT,31
IT,34
IT,25
IT,29
IT,34
IT,33
IT,29
IT,31
IT,35
IT,29
IT,26
IT,32
IT,35
IT,30
IT,35
IT,27
IT,35
IT,30
IT,26
IT,27
IT,35
IT,27
IT,30
IT,25
IT,30
IT,28
IT,27
IT,32
IT,31
IT,30
IT,33
IT,28
IT,30
IT,29
IT,32
IT,32
IT,30
IT,29
IT,28
IT,25
Marketing,26
Marketing,26
Marketing,27
Marketing,25
Marketing,34
Marketing,30
Marketing,26
Marketing,26
Marketing,27
Marketing,32
Marketing,34
Marketing,35
Marketing,34
Marketing,30
Marketing,25
Marketing,33
Marketing,31
Marketing,25
Marketing,33
Marketing,33
Marketing,33
Marketing,32
Marketing,25
Marketing,29
Marketing,35
Marketing,33
Marketing,32
Marketing,31
Marketing,27
Marketing,25
Marketing,30
Marketing,32
Marketing,33
Marketing,25
Marketing,33
Marketing,31
Marketing,29
Marketing,33
Marketing,26
Marketing,27
Marketing,34
Marketing,32
Marketing,28
Marketing,34
Marketing,29
Marketing,34
Marketing,34
Marketing,30
Marketing,28
Marketing,30
Sales,33
Sales,33
Sales,35
Sales,30
Sales,33
Sales,30
Sales,25
Sales,34
Sales,35
Sales,34
Sales,34
Sales,30
Sales,33
Sales,32
Sales,27
Sales,29
Sales,34
Sales,28
Sales,27
Sales,33
Sales,33
Sales,33
Sales,25
Sales,28
Sales,31
Sales,27
Sales,32
Sales,35
Sales,33
Sales,29
Sales,30
Sales,34
Sales,30
Sales,33
Sales,27
Sales,35
Sales,33
Sales,26
Sales,26
Sales,32
Sales,34
Sales,26
Sales,32
Sales,30
Sales,34
Sales,35
Sales,34
Sales,27
Sales,25
Sales,29
