department,score
HR,28
HR,34
HR,32
HR,25
HR,28
HR,29
HR,30
HR,25
HR,28
HR,26
HR,32
HR,35
HR,25
HR,34
HR,30
HR,28
HR,29
HR,29
HR,28
HR,26
HR,34
HR,27
HR,28
HR,30
HR,29
HR,35
HR,28
HR,35
HR,31
HR,25
HR,34
HR,28
HR,33
HR,25
HR,33
HR,32
HR,30
HR,33
HR,28
HR,29
HR,28
HR,34
HR,27
HR,30
HR,31
HR,32
HR,27
HR,25
HR,31
HR,31
Finance,35
Finance,28
Finance,34
Finance,33
Finance,28
Finance,33
Finance,26
Finance,27
Finance,34
Finance,26
Finance,26
Finance,30
Finance,34
Finance,26
Finance,28
Finance,28
Finance,28
Finance,32
Finance,31
Finance,34
Finance,31
Finance,33
Finance,35
Finance,26
Finance,35
Finance,33
Finance,35
Finance,25
Finance,34
Finance,30
Finance,34
Finance,25
Finance,27
Finance,28
Finance,32
Finance,32
Finance,35
Finance,27
Finance,27
Finance,30
Finance,28
Finance,26
Finance,30
Finance,29
Finance,33
Finance,25
Finance,33
Finance,27
Finance,28
Finance,35
IT,90
IT,90
IT,90
IT,90
IT,90
IT,90
IT,90
IT,90
IT,90
IT,90
Marketing,28
Marketing,32
Marketing,28
Marketing,26
Marketing,32
Marketing,25
Marketing,35
Marketing,28
Marketing,25
Marketing,28
Marketing,29
Marketing,34
Marketing,33
Marketing,32
Marketing,28
Marketing,35
Marketing,28
Marketing,34
Marketing,27
Marketing,25
Marketing,28
Marketing,30
Marketing,34
Marketing,28
Marketing,29
Marketing,33
Marketing,26
Marketing,32
Marketing,27
Marketing,25
Marketing,25
Marketing,27
Marketing,33
Marketing,31
Marketing,34
Marketing,35
Marketing,27
Marketing,25
Marketing,29
Marketing,30
Marketing,35
Marketing,27
Marketing,35
Marketing,25
Marketing,27
Marketing,27
Marketing,29
Marketing,31
Marketing,27
Marketing,29
Sales,27
Sales,29
Sales,25
Sales,26
Sales,35
Sales,29
Sales,27
Sales,30
Sales,26
Sales,26
Sales,31
Sales,33
Sales,35
Sales,25
Sales,30
Sales,31
Sales,32
Sales,32
Sales,28
Sales,29
Sales,26
Sales,33
Sales,29
Sales,27
Sales,31
Sales,28
Sales,34
Sales,33
Sales,33
Sales,27
Sales,27
Sales,31
Sales,30
Sales,32
Sales,32
Sales,31
Sales,26
Sales,28
Sales,30
Sales,27
Sales,31
Sales,33
Sales,35
Sales,26
Sales,25
Sales,25
Sales,27
Sales,33
Sales,26
Sales,28
