department,score
HR,30
HR,34
HR,35
HR,26
HR,35
HR,31
HR,34
HR,26
HR,35
HR,33
HR,26
HR,35
HR,30
HR,26
HR,27
HR,34
HR,26
HR,31
HR,34
HR,31
HR,26
HR,30
HR,32
HR,33
HR,34
HR,32
HR,25
HR,35
HR,27
HR,25
HR,34
HR,32
HR,25
HR,34
HR,26
HR,28
HR,31
HR,32
HR,34
HR,29
HR,29
HR,30
HR,32
HR,32
HR,27
HR,29
HR,34
HR,30
HR,31
HR,27
Finance,25
Finance,30
Finance,32
Finance,27
Finance,28
Finance,33
Finance,33
Finance,25
Finance,27
Finance,26
Finance,25
Finance,25
Finance,35
Finance,27
Finance,33
Finance,27
Finance,26
Finance,27
Finance,25
Finance,25
Finance,31
Finance,34
Finance,31
Finance,31
Finance,29
Finance,26
Finance,32
Finance,32
Finance,35
Finance,25
Finance,26
Finance,32
Finance,32
Finance,25
Finance,27
Finance,34
Finance,27
Finance,26
Finance,33
Finance,28
Finance,27
Finance,30
Finance,30
Finance,31
Finance,31
Finance,35
Finance,27
Finance,29
Finance,30
Finance,30
IT,26
IT,35
IT,28
IT,34
IT,30
IT,35
IT,28
IT,32
IT,25
IT,28
IT,25
IT,25
IT,29
IT,26
IT,35
IT,28
IT,29
IT,27
IT,31
IT,29
IT,33
IT,25
IT,28
IT,28
IT,28
IT,28
IT,33
IT,31
IT,33
IT,33
IT,30
IT,30
IT,29
IT,31
IT,26
IT,31
IT,31
IT,33
IT,27
IT,31
IT,29
IT,34
IT,33
IT,31
IT,31
IT,26
IT,25
IT,25
IT,25
IT,33
Marketing,31
Marketing,27
Marketing,25
Marketing,35
Marketing,26
Marketing,31
Marketing,27
Marketing,26
Marketing,33
Marketing,33
Marketing,35
Marketing,27
Marketing,35
Marketing,35
Marketing,27
Marketing,30
Marketing,27
Marketing,27
Marketing,34
Marketing,29
Marketing,34
Marketing,25
Marketing,33
Marketing,30
Marketing,32
Marketing,35
Marketing,25
Marketing,26
Marketing,28
Marketing,34
Marketing,32
Marketing,28
Marketing,34
Marketing,27
Marketing,25
Marketing,31
Marketing,31
Marketing,31
Marketing,30
Marketing,31
Marketing,34
Marketing,30
Marketing,34
Marketing,32
Marketing,31
Marketing,31
Marketing,32
Marketing,32
Marketing,27
Marketing,26
Sales,30
Sales,34
Sales,27
Sales,33
Sales,31
Sales,28
Sales,27
Sales,33
Sales,32
Sales,33
Sales,30
Sales,33
Sales,34
Sales,26
Sales,29
Sales,27
Sales,33
Sales,28
Sales,26
Sales,34
Sales,27
Sales,31
Sales,30
Sales,29
Sales,28
Sales,30
Sales,25
Sales,33
Sales,29
Sales,28
Sales,32
Sales,32
Sales,28
Sales,28
Sales,27
Sales,32
Sales,27
Sales,33
Sales,33
Sales,27
Sales,29
Sales,25
Sales,35
Sales,26
Sales,28
Sales,35
Sales,28
Sales,31
Sales,32
Sales,25
